property_type,price,location,city,baths,purpose,bedrooms,Area_in_Marla
Flat,10000000,G-10,Islamabad,2,For Sale,2,4
Flat,6900000,E-11,Islamabad,3,For Sale,3,5.6
House,16500000,G-15,Islamabad,6,For Sale,5,8
House,43500000,Bani Gala,Islamabad,4,For Sale,4,40
House,7000000,DHA Defence,Islamabad,3,For Sale,3,8
Flat,7800000,E-11,Islamabad,2,For Sale,2,6.2
Penthouse,40000000,F-11,Islamabad,5,For Sale,5,20
Flat,35000000,Diplomatic Enclave,Islamabad,3,For Sale,3,7.1
Flat,13500000,DHA Defence,Islamabad,5,For Sale,3,10
Flat,3600000,E-11,Islamabad,1,For Sale,1,3.1
Flat,5000000,E-11,Islamabad,2,For Sale,2,4
House,19000000,DHA Defence,Islamabad,3,For Sale,3,10
House,26900000,B-17,Islamabad,6,For Sale,6,20
House,4500000,Bhara kahu,Islamabad,3,For Sale,3,5
House,4500000,Garden Town,Islamabad,4,For Sale,4,4.7
House,6800000,Koral Town,Islamabad,4,For Sale,4,4
House,20000000,Soan Garden,Islamabad,5,For Sale,6,12
Flat,19400000,Blue Area,Islamabad,1,For Sale,1,4.3
Flat,8000000,G-11,Islamabad,2,For Sale,2,6.7
Flat,6300000,E-11,Islamabad,3,For Sale,3,5.3
House,4500000,Ghauri Town,Islamabad,3,For Sale,2,5
House,12500000,I-16,Islamabad,5,For Sale,6,8
House,110000,DHA Defence,Islamabad,5,For Rent,5,20
House,600000,F-7,Islamabad,6,For Rent,6,40
Lower Portion,33000,G-15,Islamabad,2,For Rent,2,8
House,45000,Pakistan Town,Islamabad,5,For Rent,3,24
House,175000,F-7,Islamabad,4,For Rent,4,13.3
Lower Portion,17000,Islamabad Expressway,Islamabad,2,For Rent,2,5
Lower Portion,200000,F-6,Islamabad,3,For Rent,3,16
Lower Portion,60000,G-8,Islamabad,2,For Rent,2,9.3
House,40000000,Multan Road,Lahore,5,For Sale,5,20
House,21000000,Allama Iqbal Town,Lahore,5,For Sale,6,11
House,16500000,Military Accounts Housing Society,Lahore,7,For Sale,6,8
House,13500000,Eden,Lahore,4,For Sale,4,7.5
House,23500000,Askari,Lahore,4,For Sale,4,10
House,22500000,Bedian Road,Lahore,4,For Sale,4,20
House,39500000,Gulberg,Lahore,6,For Sale,6,10
House,27500000,Askari,Lahore,5,For Sale,4,12
House,40000000,Chaman Park,Lahore,3,For Sale,6,11
House,3200000,Chungi Amar Sadhu,Lahore,2,For Sale,3,3
House,21200000,Askari,Lahore,4,For Sale,3,10
House,23000000,Askari,Lahore,5,For Sale,4,10
House,21500000,Askari,Lahore,5,For Sale,4,10
House,21500000,Askari,Lahore,5,For Sale,4,10
House,40000000,Askari,Lahore,6,For Sale,5,20
House,26000000,Askari,Lahore,5,For Sale,4,10
House,21000000,Askari,Lahore,4,For Sale,4,10
House,23000000,Askari,Lahore,5,For Sale,4,10
House,23000000,Askari,Lahore,6,For Sale,5,10
House,5500000,Karim Park,Lahore,3,For Sale,3,2.5
House,12000000,Cantt,Lahore,6,For Sale,6,8
House,12000000,Al-Raheem Garden,Lahore,5,For Sale,5,6
House,40000000,EME Society,Lahore,7,For Sale,6,20
House,17000000,Mateen Avenue,Lahore,6,For Sale,5,9.7
House,17000000,Paragon City,Lahore,5,For Sale,5,10
House,25000000,IEP Engineers Town,Lahore,5,For Sale,4,18
House,8500000,Muslim Town,Faisalabad,5,For Sale,4,5
House,25000000,Millat Town,Faisalabad,6,For Sale,5,24
House,6000000,Raza Abad,Faisalabad,2,For Sale,4,2.5
House,13500000,Humak,Rawalpindi,4,For Sale,5,7
House,23000000,Bahria Town Rawalpindi,Rawalpindi,6,For Sale,6,10
House,9990000,Gulshan Abad,Rawalpindi,2,For Sale,3,10
House,22500000,Media Town,Rawalpindi,5,For Sale,5,12
House,9000000,Bahria Town Rawalpindi,Rawalpindi,4,For Sale,3,5
House,23000000,Bahria Town Rawalpindi,Rawalpindi,6,For Sale,5,12
House,39500000,Bahria Town Rawalpindi,Rawalpindi,7,For Sale,6,20
House,21000000,Bahria Town Rawalpindi,Rawalpindi,7,For Sale,5,10
House,37000000,Bahria Town Rawalpindi,Rawalpindi,5,For Sale,5,20
House,37000000,Bahria Town Rawalpindi,Rawalpindi,7,For Sale,6,20
House,37500000,Bahria Town Rawalpindi,Rawalpindi,7,For Sale,5,20
Flat,4800000,Bahria Town Rawalpindi,Rawalpindi,1,For Sale,1,3.8
House,35000000,Bahria Town Rawalpindi,Rawalpindi,5,For Sale,5,20
Penthouse,25000000,Bahria Town Rawalpindi,Rawalpindi,4,For Sale,4,10
Flat,7500000,Bahria Town Rawalpindi,Rawalpindi,2,For Sale,2,5.5
House,12800000,Bahria Town Rawalpindi,Rawalpindi,4,For Sale,4,7
House,5000000,Chakri Road,Rawalpindi,5,For Sale,6,5
House,22000000,Bahria Town Rawalpindi,Rawalpindi,6,For Sale,5,10
House,38000000,Bahria Town Rawalpindi,Rawalpindi,7,For Sale,6,20
House,18000000,Askari 14,Rawalpindi,4,For Sale,4,10
House,25000000,Askari 13,Rawalpindi,5,For Sale,4,10
House,30000000,Askari 12,Rawalpindi,6,For Sale,4,10
House,23000000,Askari 13,Rawalpindi,5,For Sale,4,10
House,32000000,Askari 14,Rawalpindi,5,For Sale,5,22
House,25000000,Askari 13,Rawalpindi,6,For Sale,5,10
House,6000000,Bahria Town Rawalpindi,Rawalpindi,2,For Sale,2,5
House,28000000,Askari 10,Rawalpindi,5,For Sale,5,10
House,5300000,Gulshan-e-Iqbal,Rawalpindi,3,For Sale,2,5
House,19900000,Shalley Valley,Rawalpindi,6,For Sale,6,10
House,15000000,Askari 13,Rawalpindi,4,For Sale,3,5
House,18000000,Askari 14,Rawalpindi,5,For Sale,4,10
House,24500000,Askari 13,Rawalpindi,5,For Sale,4,10
House,27000000,Askari 13,Rawalpindi,4,For Sale,4,10
House,18000000,Askari 13,Rawalpindi,3,For Sale,3,5
House,125000,Chaklala Scheme,Rawalpindi,5,For Rent,5,20
Upper Portion,33000,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,3,10
House,110000,Bahria Town Rawalpindi,Rawalpindi,7,For Rent,6,20
House,60000,Bahria Town Rawalpindi,Rawalpindi,6,For Rent,5,10
Upper Portion,50000,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,3,20
House,70000,Bahria Town Rawalpindi,Rawalpindi,5,For Rent,5,10
Flat,22000,Bahria Town Rawalpindi,Rawalpindi,2,For Rent,2,2.4
Flat,35000,Chandni Chowk,Rawalpindi,2,For Rent,2,4
Upper Portion,48000,Bahria Town Rawalpindi,Rawalpindi,4,For Rent,3,20
Upper Portion,50000,Chaklala Scheme,Rawalpindi,3,For Rent,3,20
Flat,30000,Askari 15,Rawalpindi,3,For Rent,3,4.4
Flat,25000,Bahria Town Rawalpindi,Rawalpindi,1,For Rent,1,2.2
House,50000,Askari 14,Rawalpindi,6,For Rent,5,10
House,48000,Askari 14,Rawalpindi,4,For Rent,3,10
Flat,21000000,DHA Defence,Karachi,3,For Sale,3,8.9
House,6500000,Malir,Karachi,1,For Sale,2,3.2
House,13000000,Gadap Town,Karachi,4,For Sale,4,9.6
House,32000000,DHA Defence,Karachi,4,For Sale,4,4
Flat,16500000,Gulshan-e-Iqbal Town,Karachi,4,For Sale,4,9.8
House,12800000,Scheme 33,Karachi,6,For Sale,5,9.6
Flat,30000000,Cantt,Karachi,3,For Sale,3,10.2
Flat,34000000,Cantt,Karachi,4,For Sale,3,11.4
House,17000000,Gulshan-e-Iqbal Town,Karachi,5,For Sale,4,4.8
Flat,12500000,Gulshan-e-Iqbal Town,Karachi,3,For Sale,3,7.6
Flat,4100000,Abul Hassan Isphani Road,Karachi,2,For Sale,2,3.2
Flat,28000000,Cantt,Karachi,3,For Sale,3,11.4
Flat,32500000,Cantt,Karachi,3,For Sale,3,11.4
Flat,40000000,Cantt,Karachi,4,For Sale,4,13.2
House,19000000,Shahra-e-Faisal,Karachi,4,For Sale,4,9.6
Flat,7550000,Gizri,Karachi,2,For Sale,2,5.2
Flat,4500000,Saddar Town,Karachi,1,For Sale,2,1.3
Flat,6900000,Scheme 33,Karachi,3,For Sale,4,6.1
Flat,4500000,Gulistan-e-Jauhar,Karachi,2,For Sale,2,4.8
House,20000000,Gulshan-e-Iqbal Town,Karachi,3,For Sale,2,4.8
Flat,35000000,DHA Defence,Karachi,3,For Sale,2,9.1
Flat,25000000,DHA Defence,Karachi,1,For Sale,1,6
House,120000,Cantt,Karachi,4,For Rent,4,14
House,19000,Federal B Area,Karachi,2,For Rent,3,4.8
House,43000,North Karachi,Karachi,3,For Rent,6,11.5
House,130000,Malir,Karachi,5,For Rent,5,20
House,105000,Malir,Karachi,5,For Rent,5,20
Flat,65000,DHA Defence,Karachi,3,For Rent,3,7.8
Lower Portion,150000,Gulshan-e-Iqbal Town,Karachi,3,For Rent,3,16
House,38800000,Emaar Canyon Views,Islamabad,4,For Sale,5,30
Flat,15500000,DHA Defence,Islamabad,4,For Sale,4,12
Flat,3200000,F-17,Islamabad,2,For Sale,2,3.7
House,14000000,F-17,Islamabad,6,For Sale,4,7
Flat,3965000,I-12,Islamabad,2,For Sale,2,4.2
Flat,7800000,F-10,Islamabad,2,For Sale,2,5.8
House,30000000,Bahria Town,Islamabad,7,For Sale,6,10
House,21000000,Bahria Town,Islamabad,6,For Sale,5,10
Flat,8000000,Bahria Town,Islamabad,2,For Sale,2,6.1
House,180000,F-10,Islamabad,6,For Rent,6,26
Upper Portion,70000,F-10,Islamabad,3,For Rent,3,20
House,140000,F-10,Islamabad,6,For Rent,5,20
Upper Portion,75000,F-10,Islamabad,3,For Rent,3,20
House,220000,F-10,Islamabad,6,For Rent,6,20
Upper Portion,40000,Bahria Town,Islamabad,3,For Rent,3,10
Upper Portion,80000,F-10,Islamabad,3,For Rent,3,20
